s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,label
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,2
1,1,0,0,0,0,0.75,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.75,0.25,0
1,0,0,0,0,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0,0
1,1,1,0,1,1,0.25,1,1,1,1,0.0,0.75,0.0,0.0,0.0,0.75,1.0,0.25,0.0,2
1,1,0,1,1,0,0.25,1,0,1,1,0.5,0.5,0.5,0.0,0.0,0.5,0.75,0.0,0.0,1
1,1,1,0,1,0,0.25,1,1,1,1,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.25,1
1,1,0,0,0,0,0.0,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.5,0.5,0
1,0,0,0,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.5,2
1,0,0,0,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.25,0.25,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.25,2
1,0,0,0,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,1,1,0,0,0,0.75,1,1,1,1,0.25,0.25,0.5,0.25,0.25,0.5,0.75,0.0,0.0,1
1,0,1,1,1,1,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.25,0.5,0.75,0.25,0.25,2
1,0,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,0,0.5,1,1,1,1,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0.25,0.25,1
1,1,1,1,1,0,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,1
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,0,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0,2
1,1,1,0,1,0,0.75,1,1,1,1,0.5,0.5,0.75,0.5,0.25,0.25,0.75,0.5,0.25,1
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,0,0,0,0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.25,2
1,1,1,0,0,0,0.25,1,1,1,1,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0.25,0.5,1
1,1,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,1
1,1,1,0,0,0,0.25,1,1,1,1,0.25,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,1
1,1,1,0,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.0,2
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,1,0,1,0,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.0,0.5,0.5,0.25,0.25,1
1,0,1,0,1,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.5,1
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,0,1,0,1,0,0.5,1,1,1,1,0.5,0.25,0.25,0.25,0.5,0.25,0.75,0.5,0.25,1
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.0,2
1,0,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.5,0.25,0.0,0.5,1.0,0.25,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.5,2
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,2
1,1,1,0,0,1,0.25,1,1,1,1,0.25,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,2
1,1,1,1,0,1,0.25,1,1,1,1,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.75,0.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
1,1,1,1,0,1,0.25,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
1,1,1,1,0,1,0.25,1,1,1,1,0.5,0.25,0.5,0.0,0.25,0.0,0.25,1.0,0.25,2
1,1,1,0,0,1,0.5,1,1,1,1,0.75,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.25,2
1,1,1,1,0,1,0.75,1,1,1,1,0.0,0.0,0.5,0.0,0.5,0.75,0.25,0.75,0.0,2
1,1,1,1,0,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,0,1,0.75,1,1,1,1,0.5,0.25,0.5,0.0,0.0,0.5,0.75,0.0,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.5,0.25,0.25,0.5,0.5,0.75,0.25,0.25,2
1,1,1,1,0,0,0.5,1,1,1,1,0.25,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.25,1
1,1,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.75,1.0,1.0,0.5,0.75,0.25,0.25,2
1,1,1,0,0,1,0.5,1,1,1,1,0.0,0.25,0.0,0.25,0.0,0.5,1.0,0.0,0.0,2
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.25,0.0,0.5,0.25,0.0,0.5,0.25,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,1.0,1.0,0.5,0.75,0.5,0.5,0.75,0.25,0.25,2
1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.25,0.5,0.75,0.0,0.75,0.25,0.25,2
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,2
1,1,1,1,0,1,0.25,1,1,1,1,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.0,2
1,1,1,1,0,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
1,1,1,1,0,1,0.75,1,1,1,1,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.5,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.25,0.25,2
1,1,1,1,0,1,0.5,1,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.0,2
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,2
1,1,1,1,0,1,0.75,1,0,0,1,0.0,0.0,0.0,0.25,0.5,1.0,0.75,0.0,0.5,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,2
1,1,1,1,0,1,0.5,1,1,1,1,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.5,0.0,2
1,0,1,1,0,1,0.75,1,1,1,1,0.5,0.75,0.5,0.25,0.25,1.0,0.75,0.25,0.25,2
1,1,0,1,0,1,0.75,1,0,0,0,0.0,0.0,0.25,0.5,0.75,0.75,1.0,0.5,0.0,2
1,1,1,1,0,1,1.0,1,1,1,1,0.0,0.0,0.5,0.25,0.0,0.5,1.0,0.25,0.5,2
1,1,0,1,1,1,0.25,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
1,1,0,0,0,1,0.0,1,1,1,1,0.5,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.25,0.0,0.0,0.5,0.5,0.5,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,0.0,0.75,0.25,0.0,0.25,0.25,0.0,2
1,1,1,1,1,1,0.75,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,2
1,1,1,0,1,1,0.5,1,1,1,1,0.25,0.0,0.0,0.25,0.0,0.5,1.0,0.25,0.5,2
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.75,2
1,1,0,1,0,1,0.5,1,1,1,1,0.5,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,2
1,1,1,1,1,1,0.75,0,0,0,0,0.5,0.25,0.5,0.25,0.5,0.75,0.75,0.25,0.25,2
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
1,1,1,1,1,1,1.0,1,1,1,1,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.25,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.25,0.25,2
1,1,0,1,0,1,0.5,1,1,1,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.25,2
1,1,1,0,0,0,0.5,1,1,1,1,0.75,0.25,0.5,0.0,0.0,0.0,0.25,0.5,0.25,1
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1.0,1.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.25,0.5,0.25,0.5,0.75,0.25,0.25,2
1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,2
1,1,1,1,1,1,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,2
1,1,1,1,0,0,0.75,1,1,1,1,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1
1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.25,0.5,0.25,0.5,0.75,0.75,0.25,0.25,2
1,1,0,1,1,1,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
0,0,1,0,0,0,0.25,0,0,1,1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,2
1,0,1,0,0,1,0.25,1,1,1,1,0.25,0.5,0.75,0.0,0.25,0.0,1.0,0.0,0.0,0
1,1,0,1,1,0,0.5,1,1,1,1,0.25,0.0,0.25,0.0,0.0,0.5,0.75,0.0,0.0,1
1,0,1,1,1,0,0.5,1,1,1,1,0.25,0.25,0.0,0.0,0.25,1.0,0.75,0.0,0.0,1
1,0,0,0,1,1,0.25,1,1,1,1,0.25,0.5,0.5,0.25,0.0,0.75,0.75,0.25,0.25,0
0,1,0,0,0,0,0.25,1,1,1,1,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.25,0.0,0.0,0.25,0.75,1.0,0.0,0.0,1
1,1,1,1,1,1,0.25,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,0,1,1,0,0.0,1,1,1,1,0.0,0.25,0.5,0.25,0.25,0.0,1.0,0.0,0.0,1
1,1,1,1,1,0,0.25,1,1,1,1,0.5,0.5,0.25,0.25,0.25,0.0,1.0,0.0,0.0,1
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.5,0.5,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.25,0,0,0,1,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0,0.0,2
1,0,1,1,1,1,0.5,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0,1,1,0,1,1,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,0,0,0,0,0.25,1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,1.0,1.0,0
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,2
1,1,0,1,0,0,0.25,0,1,1,1,0.25,0.25,0.25,0.75,0.25,0.75,1.0,0.0,0.0,1
1,1,1,0,0,0,0.0,1,1,1,1,0.0,1.0,0.5,0.25,0.25,0.0,0.25,1.0,1.0,1
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,0,1,0.5,1,1,1,1,0.0,0.75,0.5,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,0,0.75,1,1,1,1,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,1
1,1,1,1,1,1,0.25,0,0,1,1,0.0,0.0,0.25,0.75,0.75,0.25,1.0,0.0,0.0,2
1,0,0,1,0,1,0.25,1,1,1,1,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1,1,1,1,0,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,0,0,1,1,1,0.25,0,0,1,0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,1.0,1.0,2
0,0,0,0,0,0,0.25,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,1
1,1,0,1,1,0,0.25,0,1,1,1,0.25,0.75,0.25,0.75,0.25,0.75,1.0,1.0,1.0,1
1,0,1,1,0,1,0.5,1,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,0,0.25,1,0,1,0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,1.0,1.0,1
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
0,0,1,1,1,0,0.25,0,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,1
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.25,0.25,0.0,0.0,0.0,0.25,1.0,1.0,1
0,1,0,1,1,0,0.25,0,0,0,0,0.25,0.25,0.25,0.25,1.0,0.0,1.0,0.0,0.0,1
1,1,1,1,1,0,0.25,1,0,1,1,0.0,0.0,0.25,0.25,0.25,0.0,0.25,1.0,1.0,1
1,1,1,1,1,0,0.25,0,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,1
1,1,1,1,1,1,0.25,0,0,1,1,0.0,1.0,0.0,0.25,0.25,0.75,0.75,0.25,0.25,2
1,1,1,1,1,0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,1,1,1,1,1,1.0,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,2
1,1,1,1,0,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.25,0.25,1
1,1,1,1,1,1,0.25,1,1,1,1,0.75,0.25,0.0,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,0,1,1,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0,1,1,0,1,1,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,2
1,1,1,1,0,0,0.25,1,1,1,1,1.0,0.75,0.0,0.25,0.25,0.0,0.25,1.0,1.0,1
0,1,0,1,1,0,0.25,0,0,1,1,0.75,0.75,0.75,0.25,0.75,0.25,1.0,0.0,0.0,1
1,1,1,1,0,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,0,0,0,0,1,0.0,0,0,1,1,0.0,0.75,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0
1,1,0,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,0,1,1,0.25,1,1,1,1,0.25,0.25,0.75,0.75,0.25,0.75,1.0,0.0,0.0,2
1,1,1,0,0,0,0.25,0,1,1,1,0.25,0.25,0.25,0.25,0.75,0.25,1.0,0.0,0.0,1
1,1,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.0,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.25,0.25,0.0,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.0,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,1.0,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0,0,1,1,0,1,0.25,1,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.5,0
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.5,0.25,0.25,0.25,0.0,0.75,0.25,0.25,2
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2
0,0,0,1,0,1,0.25,1,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.75,0
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.5,0.25,0.0,0.25,0.0,0.75,0.25,0.25,2
1,1,1,1,1,0,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1,1,1,1,0,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1,1,0,1,1,0.25,1,1,1,1,0.0,0.5,0.25,0.0,0.0,0.75,0.25,0.0,0.0,2
0,0,0,1,0,0,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0
1,0,1,1,1,1,0.25,1,1,1,1,0.0,0.5,0.25,0.0,0.0,1.0,1.0,0.25,0.25,2
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,1,0,1,0,1,0.0,0,0,0,0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0
1,0,1,1,1,1,0.25,1,1,1,1,0.0,0.5,0.25,0.25,0.25,0.75,0.75,0.25,0.5,2
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,0,0,1,0,0,0.25,1,1,1,1,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0
0,0,0,1,0,0,0.25,1,1,1,1,0.0,0.25,0.5,0.0,0.25,1.0,0.25,0.0,0.0,0
1,1,1,1,1,1,0.25,1,1,1,1,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,2
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2
0,0,0,1,0,0,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0
1,0,1,1,1,1,0.25,1,1,1,1,0.0,0.5,0.25,0.25,0.25,0.0,1.0,0.0,0.0,2
0,0,0,1,0,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.25,0.0,2
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.25,0.25,0.75,0.25,0.75,1.0,0.0,0.0,1
1,1,1,1,1,1,0.75,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,2
1,1,1,1,1,1,0.75,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.0,0.0,0.25,1.0,1.0,2
1,1,0,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
0,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1.0,1.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.25,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.25,0.75,0.25,1.0,1.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.25,0.25,0.75,0.75,0.25,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.0,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,0,0,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.25,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.25,0.25,0.25,0.0,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,1.0,1,1,1,1,0.25,0.25,0.25,0.25,0.75,0.25,1.0,0.0,0.0,2
1,1,1,0,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.5,1,1,1,1,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,2
1,1,1,1,1,1,0.25,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.25,0.25,0.25,0.0,0.25,1.0,1.0,2
1,1,1,1,1,1,1.0,1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.0,0.0,2
1,1,1,1,1,1,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
1,1,0,1,1,0,0.5,1,1,1,1,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.5,0.0,1
0,0,1,1,1,0,0.5,1,1,1,1,0.0,0.0,0.5,0.5,0.75,0.0,0.75,0.0,0.25,1
1,1,1,1,1,0,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1
1,1,1,1,1,1,0.25,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1,1,1,1,1,0,0.5,1,1,1,1,0.25,0.0,0.25,0.5,0.5,0.5,0.25,0.5,0.5,1
1,1,1,1,1,0,0.25,1,1,1,1,0.25,0.5,0.25,0.25,0.25,0.25,0.75,0.25,0.25,1
1,0,0,1,0,0,0.5,1,1,1,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,1,1,1,1,0.75,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.75,2
1,1,1,1,1,0,1.0,1,1,1,1,0.75,0.75,1.0,0.75,0.5,0.5,0.0,1.0,1.0,1
0,0,0,0,0,0,0.25,1,1,1,1,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,1,1,1,1,0,0.5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.5,1
1,1,0,1,0,0,0.5,1,1,1,1,0.5,0.5,0.25,0.75,0.5,0.25,1.0,0.5,0.5,1
1,1,1,1,1,1,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,2
1,0,1,1,1,0,0.25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,1
1,1,1,1,1,1,0.25,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,2
1,1,1,1,1,1,1.0,0,1,1,1,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2
0,1,1,0,0,0,0.0,1,1,1,1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,1,1,1,1,1,0.25,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,2
1,1,1,0,0,0,0.25,1,1,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1,1,1,1,1,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,2
